random_num,股票编号,上市年限,所属行业,所属概念板块,code,上市年限计算
1286,556,2016-12-29,制造业,预增;合资企业,002836.SZ,2
879,557,2010-06-01,制造业,5G,002417.SZ,8
1561,558,2011-03-29,建筑业,超涨;特色小镇;珠三角;PPP;股票质押;装饰园林;基金重仓(季调);含可转债;券商重仓;可转债,300197.SZ,7
612,559,2007-08-10,制造业,高送转概念;超导;预增;大飞机;国家队;钒钛;小金属;地方国企;核电;并购阶段(需定增),002149.SZ,11
2151,560,1997-07-08,制造业,异质结电池(HIT);光伏;大豆;东北振兴,600095.SH,21
3273,561,2016-12-02,信息传输、软件和信息技术服务业,大数据;并购阶段(需定增);网络优化;网络规划建设;超涨,603559.SH,2
2417,562,2003-09-24,制造业,ST概念;光伏;异质结电池(HIT),600401.SH,15
2768,563,1994-01-28,制造业,共享单车;知识产权;浦东新区;股票质押;含B股的A股;迪士尼,600818.SH,24
3246,564,2014-10-10,制造业,员工持股;超涨;出口型企业,603456.SH,4
3002,565,2015-03-19,制造业,消费电子产业;标普道琼斯概念;合资企业;无人驾驶;5G应用;超涨;吉利概念;特斯拉;基金重仓(季调);国产化创新;大盘蓝筹,601689.SH,3
3311,566,2017-01-20,制造业,小盘成长,603638.SH,1
2105,567,2001-02-08,信息传输、软件和信息技术服务业,融资融券;广电系;融资融券标的;国家队;三网融合;文化传媒概念;地方国企;预增;养老金概念,600037.SH,17
2631,568,1993-08-23,制造业,并购阶段(需定增);增持;举牌;医疗改革;医保概念,600671.SH,25
441,569,2000-05-18,水利、环境和公共设施管理业,地方国企,000978.SZ,18
2899,570,2012-04-11,制造业,基金重仓(季调);基金重仓;基金增仓;行业龙头;标普道琼斯概念;国产化创新;融资融券标的;融资融券;数字中国;光伏;一线龙头;白马股;大盘蓝筹;国家队;护城河;可转债,601012.SH,6
735,571,2008-09-19,制造业,基金重仓(季调);智能穿戴;苹果;大盘蓝筹;融资融券;蓝宝石;5G应用;员工持股;消费电子产业;可转债;中小创蓝筹;智能手表;国家队;3D玻璃;融资融券标的;股票质押;标普道琼斯概念;参股宁德时代;车联网;制造业单项冠军企业;3D传感;小米产业链;虚拟现实;摄像头;手机产业,002273.SZ,10
559,572,2006-12-22,制造业,地方国企;可转债;国家队,002096.SZ,12
1903,573,2016-09-28,制造业,超涨;显示屏制造装备;含可转债;手机屏幕;液晶显示;新型显示技术;OLED,300545.SZ,2
820,574,2010-02-10,制造业,轨道交通;预增;增持;标普道琼斯概念;股票质押;可转债;充电桩;预减,002358.SZ,8
630,575,2007-09-13,制造业,小金属;手机陶瓷外壳;核电;液态金属;新材料;标普道琼斯概念,002167.SZ,11
2602,576,1993-03-16,信息传输、软件和信息技术服务业,三网融合;行业龙头;标普道琼斯概念;证金概念;核高基;融资融券标的;国家队;长三角;融资融券;智能电视;5G应用;上海自贸区;虚拟现实;文化传媒概念;广电系;移动互联网;MSCI大盘;地方国企;预增;护城河;一线龙头;上海国资改革;大消费,600637.SH,25
777,577,2009-12-09,信息传输、软件和信息技术服务业,员工持股;电子商务;金融科技;高送转概念;小盘成长;智慧医疗;虚拟现实;超涨;国家队;跨境电商;移动支付,002315.SZ,9
2443,578,2003-12-24,信息传输、软件和信息技术服务业,区块链;国产软硬件;科技龙头;互联网金融;智慧停车;融资融券;国家队;阿里巴巴概念;融资融券标的;标普道琼斯概念,600446.SH,15
2220,579,1999-04-15,房地产业,重组;员工持股;新型城镇化;网络游戏,600173.SH,19
1816,580,2015-05-15,制造业,超涨;预增,300455.SZ,3
3079,581,2015-04-22,制造业,制造业单项冠军企业;国产软硬件;工业4.0;预增;标普道琼斯概念;地方国企,603025.SH,3
1930,582,2016-12-08,制造业,最小市值;医保概念;超涨,300573.SZ,2
1055,583,2011-06-30,制造业,大消费;员工持股;磷酸铁锂电池;苹果;国产化创新;共享汽车;动力电池;消费电子代工;新能源汽车;融资融券;新能源整车;珠三角;锂矿;超涨;盐湖提锂;融资融券标的;5G应用;标普道琼斯概念;车联网;万得A50;MSCI大盘;行业龙头;电动物流车;锂电池;消费电子产业;手机产业;品牌龙头;含H股的A股,002594.SZ,7
680,584,2008-02-20,制造业,科技龙头;股票质押;手机外壳;MSCI中盘;员工持股;大盘蓝筹;标普道琼斯概念;超涨;无线充电;甲醇;基金重仓(季调);液晶显示;触摸屏;3D玻璃;智能手表;高送转概念;消费电子产业,002217.SZ,10
2153,585,1997-06-19,农、林、牧、渔业,上海本地重组;增持;地方国企;小盘成长;浦东新区;预增;上海国资改革,600097.SH,21
3283,586,2017-04-06,制造业,次新股;预增,603586.SH,1
2705,587,1996-09-25,房地产业,上海国资改革;新型城镇化;养老产业;上海本地重组;融资融券;地方国企;上海自贸区;标普道琼斯概念;融资融券标的;浦东新区;国家队;预增,600748.SH,22
303,588,1997-07-31,金融业,含可转债;标普道琼斯概念;可转债;融资融券标的;MSCI大盘;预增;融资融券,000783.SZ,21
1534,589,2011-01-25,制造业,新材料;最小市值;风力发电;股票质押;固废处理;轨道交通;建筑节能;举牌;第三方支付;高铁,300169.SZ,7
243,590,1997-02-27,电力、热力、燃气及水生产和供应业,地方国企;东北振兴;重组;低价小市值,000692.SZ,21
50,591,1997-09-10,水利、环境和公共设施管理业,珠三角;并购阶段(需定增);证金概念;一线龙头;大盘蓝筹;社保重仓;标普道琼斯概念;基金重仓(季调);MSCI大盘;央企;国家队;特色小镇;护城河;融资融券标的;行业龙头;融资融券,000069.SZ,21
3177,592,2016-10-26,信息传输、软件和信息技术服务业,预增;超涨;标普道琼斯概念;网络游戏,603258.SH,2
1222,593,2015-06-12,制造业,国家队;物联网,002767.SZ,3
434,594,2000-04-20,制造业,高校;稀土永磁;融资融券标的;国家队;融资融券;预减;特斯拉;标普道琼斯概念,000970.SZ,18
1829,595,2015-05-27,信息传输、软件和信息技术服务业,数字货币;区块链;国产软硬件;金融科技;超涨,300468.SZ,3
205,596,1996-11-20,制造业,股权转让;煤电重组;央企;重组;小盘成长,000635.SZ,22
2646,597,1993-11-08,制造业,并购阶段(需定增);O2O;黄金珠宝;电子商务;股票质押;员工持股;虚拟现实;互联网营销;标普道琼斯概念;文化传媒概念,600687.SH,25
1331,598,2017-07-11,制造业,次新股;超涨,002884.SZ,1
25,599,1993-10-08,房地产业,融资融券;小盘成长;标普道琼斯概念;融资融券标的;国资改革;央企;期货概念;国家队;大盘蓝筹,szse.000031,25
1645,600,2011-12-29,制造业,预增;工业4.0,300281.SZ,7
11,601,1992-06-02,房地产业,粤港澳大湾区;深圳市国资;粤港澳自贸区;地方国企;预减;广东省国资;举牌,szse.000014,26
759,602,2009-09-29,制造业,通用航空;大飞机;新材料;国家队;高校,002297.SZ,9
3403,603,2017-01-09,制造业,行业龙头;标普道琼斯概念;大消费,603877.SH,1
961,604,2010-11-09,电力、热力、燃气及水生产和供应业,光伏;股权转让;环保概念;PM2.5,002499.SZ,8
1325,605,2017-06-06,租赁和商务服务业,超涨;次新股,002878.SZ,1
2208,606,1998-06-26,制造业,国家队;氟化工;陆股通50;地方国企;预减;大盘蓝筹;行业龙头;融资融券;半导体材料;融资融券标的;MSCI中盘;CDM项目,600160.SH,20
3226,607,2017-09-29,制造业,预增;近端次新股;次新股,603367.SH,1
850,608,2010-04-13,制造业,蓝宝石;富士康概念;触摸屏;供应链金融,002388.SZ,8
2938,609,2010-03-19,交通运输、仓储和邮政业,地方国企;股权转让;东北振兴,601188.SH,8
3081,610,2016-03-07,制造业,调味品;可转债;含可转债;高送转概念,603027.SH,2
1888,611,2016-08-02,制造业,超涨;珠三角;医疗器械;基金减持;血液制品,300529.SZ,2
3335,612,2015-12-09,制造业,合资企业,603696.SH,3
1973,613,2017-03-01,制造业,机器人;含可转债;锂电池,300619.SZ,1
2324,614,2000-11-01,水利、环境和公共设施管理业,国家队;融资融券标的;预减;央企;环保概念;融资融券;PM2.5,600292.SH,18
2895,615,2007-04-26,交通运输、仓储和邮政业,一带一路;地方国企;江苏省国资;中日韩自贸区;预增,601008.SH,11
715,616,2008-06-23,制造业,生物疫苗;融资融券标的;标普道琼斯概念;大消费;血液制品;融资融券;长三角;国家队;流感;护城河,002252.SZ,10
3056,617,2007-04-27,金融业,富时罗素概念;一线龙头;万得A50;MSCI大盘;标普道琼斯概念;融资融券;可转债;陆股通50;融资融券标的;证金概念;含可转债;大盘蓝筹;国家队;含H股的A股,601998.SH,11
698,618,2008-05-16,制造业,小程序;员工持股;世界杯;腾讯概念;预减;网络彩票,002235.SZ,10
2289,619,2003-06-09,制造业,融资融券标的;棉花;国家队;融资融券;地方国企,600251.SH,15
2388,620,2001-01-09,金融业,国家队;融资融券;地方国企;融资融券标的;MSCI大盘;预增,600369.SH,17
1282,621,2016-12-16,制造业,珠三角;行业龙头;标普道琼斯概念;中小创蓝筹,002831.SZ,2
2019,622,2017-07-03,制造业,超涨;次新股;智能电网,300670.SZ,1
3150,623,2017-03-28,制造业,次新股,603178.SH,1
1492,624,2010-10-13,制造业,国家队;制造业单项冠军企业;稀土永磁,300127.SZ,8
2717,625,1996-10-09,制造业,融资融券;QFII重仓;出口型企业;预增;地方国企;制造业单项冠军企业;国家队;融资融券标的,600761.SH,22
753,626,2009-09-03,制造业,超涨;预增;O2O;合资企业;虚拟现实;国家队,002291.SZ,9
846,627,2010-04-09,制造业,基金重仓(季调);科技龙头;消费电子产业;绿色节能照明;OLED;超涨;电路板;特斯拉;基站;射频及天线;无线充电;智能手表;重组;智能穿戴;标普道琼斯概念,002384.SZ,8
3156,628,2014-09-09,制造业,融资融券标的;融资融券;股票质押;标普道琼斯概念;染料;国家队,603188.SH,4
2334,629,2001-02-06,制造业,标普道琼斯概念;地方国企;股票质押;品牌龙头;调味品;江苏省国资;预增,600305.SH,17
328,630,1998-06-09,制造业,IDC;预减;央企;超涨;大数据;涉矿;标普道琼斯概念,000815.SZ,20
1199,631,2015-02-16,制造业,锂电池;预减;含可转债;可转债;预增;半导体产业;半导体材料;电路板,002741.SZ,3
1435,632,2010-04-21,水利、环境和公共设施管理业,基金重仓(季调);雄安新区;融资融券标的;中小创蓝筹;民营银行;一线龙头;QFII重仓;污水处理;白马股;MSCI中盘;融资融券;制造业单项冠军企业;环保概念;超涨;行业龙头,300070.SZ,8
275,633,1997-07-04,房地产业,MSCI中盘;金控平台;融资融券标的;预增;国家队;员工持股;标普道琼斯概念;大盘蓝筹;融资融券,000732.SZ,21
2554,634,2002-02-05,采矿业,可燃冰;天津自贸区;融资融券标的;央企;标普道琼斯概念;国家队;证金概念;融资融券;预减;大央企重组;MSCI大盘,600583.SH,16
1491,635,2010-10-13,制造业,最小市值;员工持股;激光;机器人;工业4.0,300126.SZ,8
2575,636,1992-03-27,批发和零售业,浦东新区;预减;最小市值;股票质押,600605.SH,26
418,637,1999-11-25,制造业,中字头;小盘成长;地方国企;国家队;标普道琼斯概念,000951.SZ,19
888,638,2010-06-08,制造业,举牌;锂电池;手机产业;并购阶段(需定增);股票质押;手机外壳;行业龙头;标普道琼斯概念;3D玻璃;锂电隔膜;小米产业链;消费电子产业;出口型企业,002426.SZ,8
2244,639,1999-04-01,综合,超涨;国家队;融资融券标的;融资融券;医保概念;抗癌;抗核辐射;标普道琼斯概念,600200.SH,19
1384,640,2009-10-30,制造业,重组;医疗器械;超涨;智慧医疗;智能电网;健康中国;生物疫苗;国家队,300018.SZ,9
1465,641,2010-08-06,制造业,并购阶段(需定增);新能源汽车;无人驾驶,300100.SZ,8
423,642,1999-12-23,电力、热力、燃气及水生产和供应业,高送转概念;风力发电;雄安新区;预增;火电,000958.SZ,19
1707,643,2012-08-01,信息传输、软件和信息技术服务业,文化传媒概念;建筑节能;互联网营销,300343.SZ,6
807,644,2010-01-28,制造业,员工持股;预增;标普道琼斯概念;跨境电商;黄金珠宝,002345.SZ,8
1415,645,2010-01-20,制造业,健康中国;智慧医疗;养老产业;医疗改革;国家队;医疗器械;民营医院,300049.SZ,8
989,646,2010-12-24,制造业,预减;员工持股;智慧城市;安防监控;5G应用;合资企业;互联网营销;超涨;生物识别,002528.SZ,8
1219,647,2015-06-10,制造业,股票质押;人民币贬值;高送转概念,002763.SZ,3
1783,648,2015-02-17,制造业,国家队;制造业单项冠军企业,300421.SZ,3
2421,649,2003-02-12,制造业,低价小市值;大盘蓝筹;重组,600408.SH,15
381,650,1999-01-28,交通运输、仓储和邮政业,融资融券标的;固废处理;国家队;大盘蓝筹;期货概念;民营银行;地方国企;标普道琼斯概念;融资融券;医废处理,000900.SZ,19
964,651,2010-11-17,文化、体育和娱乐业,文化传媒概念;保底增持;IP流量变现;网络游戏;员工持股;标普道琼斯概念;二胎政策;影视;动漫,002502.SZ,8
1489,652,2010-09-28,制造业,国家队;护城河;融资融券;电动物流车;基金重仓(季调);珠三角;新能源汽车;5G应用;机器人;行业龙头;工业4.0;白马股;基金减持;大盘蓝筹;轨道交通;融资融券标的,300124.SZ,8
1683,653,2012-05-23,制造业,高送转概念;股票质押;5G;消费电子产业;超涨;可转债;国家队,300319.SZ,6
3279,654,2017-03-06,制造业,次新股;含可转债,603578.SH,1
2524,655,2002-11-07,制造业,稀土;融资融券标的;国家队;钨矿;锂电池;手机产业;标普道琼斯概念;磷酸铁锂电池;地方国企;稀土永磁;MSCI中盘;融资融券;小金属;锂电正极,600549.SH,16
3033,656,2016-02-15,文化、体育和娱乐业,影视;地方国企;广东省国资;文化传媒概念,601900.SH,2
681,657,2008-02-28,制造业,预减;新能源;国家队;高送转概念;员工持股;异质结电池(HIT);光伏;低价小市值,002218.SZ,10
561,658,2006-12-22,制造业,世界杯;人民币贬值;股权转让;跨境电商,002098.SZ,12
1685,659,2012-05-23,制造业,股票质押;最小市值;国家队,300321.SZ,6
633,660,2007-09-19,制造业,预增;股票质押;员工持股;智慧农业,002170.SZ,11
317,661,1997-06-18,制造业,新能源整车;融资融券;融资融券标的;大央企重组;消费电子产业;中国一汽概念;预减;标普道琼斯概念;国家队;长吉图板块;央企,000800.SZ,21
3217,662,2017-02-22,制造业,预增;重组;可转债;超涨,603345.SH,1
3459,663,2016-12-08,信息传输、软件和信息技术服务业,智慧医疗;超涨,603990.SH,2
2641,664,1993-10-18,批发和零售业,干细胞;并购阶段(需定增);长三角;员工持股;标普道琼斯概念;基因检测;健康中国;养老产业;O2O;抗癌,600682.SH,25
519,665,2006-08-02,制造业,国家队;稀土永磁;员工持股;光伏;融资融券标的;融资融券;出口型企业;苹果;大盘蓝筹;制造业单项冠军企业;标普道琼斯概念;无线充电;磷酸铁锂电池;锂电池;超涨,002056.SZ,12
1987,666,2017-03-31,科学研究和技术服务业,超涨;次新股;5G,300635.SZ,1
2752,667,1994-01-03,制造业,融资融券标的;合资企业;国家队;基金重仓(季调);水泥;大盘蓝筹;标普道琼斯概念;含B股的A股;小盘成长;MSCI中盘;融资融券,600801.SH,24
1243,668,2016-03-11,建筑业,装饰园林;预减,002789.SZ,2
95,669,1996-08-29,水利、环境和公共设施管理业,股票质押;地方国企;预减;员工持股,000430.SZ,22
834,670,2010-03-18,制造业,大盘蓝筹;融资融券;标普道琼斯概念;行业龙头;建筑节能;MSCI中盘;国家队;中小创蓝筹;二线龙头;融资融券标的,002372.SZ,8
2419,671,2004-04-01,制造业,股票质押;超涨;充电桩,600405.SH,14
3166,672,2015-02-17,制造业,体外诊断;可转债,603222.SH,3
640,673,2007-11-01,制造业,员工持股;金融科技;国产软硬件;数字货币;区块链;国家队;智能IC卡,002177.SZ,11
2892,674,2007-02-28,制造业,*ST;预增;含H股的A股;高送转概念;ST概念;成渝特区;标普道琼斯概念;CDM项目;国家队,601005.SH,11
2912,675,2010-10-28,文化、体育和娱乐业,国家队;融资融券;护城河;地方国企;融资融券标的;IP流量变现;标普道琼斯概念;MSCI大盘;文化传媒概念,601098.SH,8
709,676,2008-06-05,制造业,抗核辐射;标普道琼斯概念;国企混改;国家队;央企,002246.SZ,10
831,677,2010-03-16,制造业,融资融券标的;举牌;智能手表;股票质押;超涨;手机产业;消费电子产业;4G;小米产业链;融资融券;消费电子代工,002369.SZ,8
2568,678,2002-03-29,农、林、牧、渔业,融资融券标的;超涨;融资融券;甲醇;大豆;反关税;国家队;标普道琼斯概念;MSCI中盘;土地流转;东北振兴;大盘蓝筹,600598.SH,16
1244,679,2016-03-08,制造业,预增,002790.SZ,2
246,680,1997-03-25,制造业,并购阶段(需定增);小金属;无人机,000697.SZ,21
1097,681,2011-11-25,制造业,中小创蓝筹;预增;小盘成长;预减;标普道琼斯概念;电路板;覆铜板,002636.SZ,7
1965,682,2017-02-13,制造业,,300610.SZ,1
10,683,1992-02-28,制造业,融资融券标的;异质结电池(HIT);制造业单项冠军企业;融资融券;光伏;标普道琼斯概念;含B股的A股;举牌;预增;玻璃;国家队,szse.000012,26
1828,684,2015-05-27,信息传输、软件和信息技术服务业,国家队;股票质押;网络游戏,300467.SZ,3
2189,685,1998-03-03,文化、体育和娱乐业,股票质押;并购阶段(需定增);文化传媒概念;体育;影视,600136.SH,20
184,686,1996-10-10,综合,互联网金融;职业教育;举牌;新型城镇化,000609.SZ,22
2473,687,2003-08-14,采矿业,国企混改;央企;国资改革;融资融券标的;MSCI大盘;国家队;大央企重组;标普道琼斯概念;基金重仓(季调);融资融券;黄金珠宝;人民币贬值,600489.SH,15
2770,688,1994-01-28,建筑业,一线龙头;轨道交通;MSCI大盘;上海国资改革;地方国企;国企混改;上海本地重组;国家队;PPP;融资融券;预增;融资融券标的;标普道琼斯概念,600820.SH,24
1580,689,2011-05-11,制造业,融资融券;生物疫苗;国家队;干细胞;基因检测;融资融券标的;医疗器械,300216.SZ,7
3,690,1990-12-10,水利、环境和公共设施管理业,特斯拉;PPP;环保概念;股票质押;低价小市值;预减;固废处理,szse.000005,28
3444,691,2017-09-22,制造业,预减;近端次新股;次新股,603963.SH,1
496,692,2004-08-25,水利、环境和公共设施管理业,举牌;国家队,002033.SZ,14
2645,693,1993-11-08,制造业,无人驾驶;电动物流车;氢能;地方国企;新能源整车;预减;融资融券;新能源汽车;融资融券标的,600686.SH,25
1894,694,2016-08-12,制造业,最小市值,300535.SZ,2
2350,695,2001-09-10,房地产业,天津自贸区;新型城镇化;京津冀一体化;地方国企;国企混改;天津市国资,600322.SH,17
2265,696,2000-01-27,房地产业,地方国企;*ST;超涨;ST概念;国家队;天津自贸区;低价小市值;天津市国资,600225.SH,18
692,697,2008-05-08,制造业,腾讯概念;员工持股;预增;融资融券标的;融资融券;网络彩票;世界杯,002229.SZ,10
1571,698,2011-04-21,制造业,TWS耳机;动力电池;无线充电;锂电池;苹果;基金增仓;小米产业链;虚拟现实;基金重仓(季调);5G应用;超涨;股票质押;大盘蓝筹;消费电子产业;国家队;珠三角;手机电池,300207.SZ,7
94,699,1998-02-20,交通运输、仓储和邮政业,港珠澳大桥;粤港澳大湾区;广东省国资;二线龙头;标普道琼斯概念;地方国企;含B股的A股;券商重仓;珠三角;白马股;大盘蓝筹,000429.SZ,20
3427,700,2017-12-04,制造业,近端次新股;打板;次新股,603917.SH,1
2274,701,2000-06-15,制造业,ST;文化传媒概念;举牌;重组;借壳上市;ST概念,600234.SH,18
272,702,1997-06-16,金融业,融资融券;标普道琼斯概念;MSCI大盘;地方国企;融资融券标的;国家队,000728.SZ,21
2411,703,2001-05-31,采矿业,大盘蓝筹;地方国企;融资融券标的;标普道琼斯概念;融资融券;陆股通50,600395.SH,17
3130,704,2012-05-03,批发和零售业,超涨;地方国企,603123.SH,6
2792,705,1994-03-11,信息传输、软件和信息技术服务业,科技龙头;央企;浦东新区;虚拟现实;可转债;车联网;预增;IDC;超涨;5G应用;网络安全;国产软硬件;大数据;含B股的A股;云计算;护城河,600845.SH,24
3210,706,2017-07-05,制造业,次新股,603331.SH,1
1235,707,2015-12-09,批发和零售业,体育,002780.SZ,3
1200,708,2015-02-17,制造业,高送转概念;国家队,002742.SZ,3
2626,709,1993-06-29,制造业,医保概念;医疗改革;融资融券标的;肺炎概念;护城河;地方国企;标普道琼斯概念;融资融券;预减;国家队;东北振兴,600664.SH,25
3041,710,2007-09-25,金融业,基金重仓(季调);预增;一线龙头;MSCI大盘;社保重仓;标普道琼斯概念;富时罗素概念;含H股的A股;大盘蓝筹;护城河;国家队;行业龙头;证金概念;万得A50;陆股通50;系统重要性金融机构;白马股;融资融券标的;融资融券,601939.SH,11
585,711,2007-03-28,制造业,国家队;高铁;股权转让;大数据;低价小市值,002122.SZ,11
593,712,2007-04-20,制造业,大飞机;新能源;融资融券标的;核电;高送转概念;可转债;标普道琼斯概念;融资融券;预增;保底增持;股票质押,002130.SZ,11
1822,713,2015-05-19,制造业,并购阶段(需定增),300461.SZ,3
2627,714,1993-07-09,房地产业,科技园区;地方国企;新型城镇化;小盘成长;浦东新区,600665.SH,25
1560,715,2011-03-29,制造业,玻璃;高送转概念,300196.SZ,7
531,716,2006-09-15,制造业,炭黑;标普道琼斯概念;小盘成长;国家队;地方国企;制造业单项冠军企业,002068.SZ,12
1938,717,2016-12-28,制造业,预增;合资企业,300582.SZ,2
471,718,2004-06-25,制造业,含可转债;OLED;珠三角;融资融券标的;蓝宝石;制造业单项冠军企业;基金增仓;行业龙头;机器人;基金重仓(季调);融资融券;一线龙头;护城河;液晶显示;预减;苹果;激光;3D打印;国产化创新;科技龙头;消费电子产业;QFII重仓;显示屏制造装备;国家队;电路板;数字中国;标普道琼斯概念;可转债;新型显示技术,002008.SZ,14
2196,719,1999-07-07,制造业,并购阶段(需定增);融资融券标的;大消费;员工持股;融资融券;超涨,600146.SH,19
2211,720,1998-06-02,电力、热力、燃气及水生产和供应业,债转股;地方国企;风力发电,600163.SH,20
3386,721,2017-04-14,制造业,超涨;出口型企业;次新股;预增,603826.SH,1
2727,722,1996-11-08,房地产业,融资融券;预减;锂矿;融资融券标的;盐湖提锂;西藏振兴;涉矿;国家队;地方国企,600773.SH,22
727,723,2008-08-06,制造业,预增;机床;央企;国家队,002265.SZ,10
1991,724,2017-04-12,制造业,超涨;打板;次新股;肺炎概念;基因检测;生物疫苗;合资企业,300639.SZ,1
1706,725,2012-07-26,制造业,股票质押;超涨;军民融合,300342.SZ,6
2764,726,1994-01-14,批发和零售业,标普道琼斯概念;预增;O2O;地方国企;新零售,600814.SH,24
152,727,1994-04-08,制造业,融资融券标的;融资融券;成渝特区;地方国企,000565.SZ,24
2925,728,2016-06-15,制造业,新能源汽车;新能源整车;预减;国家队;可转债;标普道琼斯概念;含可转债,601127.SH,2
199,729,1996-11-18,建筑业,参股金融;重组;科技园区;成渝特区;地方国企,000628.SZ,22
2256,730,1999-09-09,房地产业,重组;东北振兴;超涨;中朝经济特区;长吉图板块,600215.SH,19
771,731,2009-11-27,制造业,光伏;标普道琼斯概念;国家队,002309.SZ,9
662,732,2007-12-21,制造业,手机产业;增持;绿色节能照明;蓝宝石,002199.SZ,11
554,733,2006-12-08,批发和零售业,融资融券;地方国企;标普道琼斯概念;动力电池;预增;江苏省国资;小盘成长;中小创蓝筹;人民币贬值;锂矿;大盘蓝筹;锂电池;锂电电解液;宁德时代产业链;手机产业;手机电池;融资融券标的,002091.SZ,12
829,734,2010-03-12,制造业,融资融券;超涨;轨道交通;融资融券标的;标普道琼斯概念;增持;机器人;预增,002367.SZ,8
356,735,1998-10-28,租赁和商务服务业,参股消费金融;标普道琼斯概念;第三方支付;电子商务;含可转债;预增;超涨;珠三角;O2O;可转债,000861.SZ,20
539,736,2006-10-25,制造业,超涨;绿色节能照明;充电桩;高送转概念;无人机;并购阶段(需定增),002076.SZ,12
2420,737,2003-10-16,信息传输、软件和信息技术服务业,一线龙头;央企;智能电网;护城河;融资融券标的;5G应用;重组;半导体分立器件;基金重仓(季调);大央企重组;证金概念;行业龙头;充电桩;长三角;标普道琼斯概念;融资融券;国家队;基金增仓;大盘蓝筹;轨道交通;能源互联网;特高压,600406.SH,15
758,738,2009-09-29,制造业,安防监控;轨道交通;举牌;高铁;预增;超涨,002296.SZ,9
812,739,2010-02-03,制造业,股票质押;国家队;智能电网;预减;雄安新区,002350.SZ,8
628,740,2007-09-13,制造业,员工持股;预增;国家队;制造业单项冠军企业;建筑节能;新材料,002165.SZ,11
3363,741,2015-12-31,建筑业,雄安新区;高送转概念;装饰园林,603778.SH,3
2027,742,2017-07-31,制造业,次新股;消费电子产业,300679.SZ,1
277,743,1997-06-11,农、林、牧、渔业,预减;三沙;土地流转;标普道琼斯概念;海南自贸港;职业教育;国家队;保底增持;猪产业,000735.SZ,21
63,744,2000-09-06,文化、体育和娱乐业,文化传媒概念;阿里巴巴概念;融资融券;地方国企;重组;标普道琼斯概念;国家队;智能电视;三网融合;融资融券标的;广电系;CDR概念,000156.SZ,18
2355,745,2000-12-22,制造业,并购阶段(需定增);央企;调味品;重组;预增,600328.SH,18
3007,746,2008-12-05,制造业,融资融券;含H股的A股;含可转债;地方国企;融资融券标的;国家队;上海国资改革;轨道交通;证金概念;可转债;行业龙头;标普道琼斯概念;高端装备制造;长三角;护城河;核电,601727.SH,10
3221,747,2017-09-01,建筑业,近端次新股;次新股;装饰园林;超涨,603359.SH,1
3262,748,2016-03-09,制造业,超涨;预增,603520.SH,2
129,749,1993-12-15,制造业,国家队;国企混改;基金重仓(季调);证金概念;医保概念;大消费;预增;行业龙头;融资融券标的;品牌龙头;融资融券;标普道琼斯概念;一线龙头;护城河;医疗改革;白马股,000538.SZ,25
995,750,2011-01-10,制造业,国家队;小盘成长;合同能源管理;固废处理,002534.SZ,7
2576,751,1992-03-27,房地产业,基金重仓(季调);PPP;蚂蚁金服;一线龙头;体育;融资融券标的;融资融券;护城河;特色小镇;国家队;行业龙头;大盘蓝筹;标普道琼斯概念,600606.SH,26
2249,752,1999-07-14,电力、热力、燃气及水生产和供应业,LNG;独角兽概念;地方国企;触摸屏;出口型企业;富士康概念;3D玻璃;光伏,600207.SH,19
3138,753,2017-03-06,信息传输、软件和信息技术服务业,大数据;超涨;次新股,603138.SH,1
1626,754,2011-09-16,建筑业,污水处理;PPP;环保概念,300262.SZ,7
1160,755,2012-09-11,文化、体育和娱乐业,二胎政策;IP流量变现;标普道琼斯概念;预增;高送转概念;网络游戏;迪士尼;动漫;文化传媒概念,002699.SZ,6
2985,756,2007-04-30,制造业,标普道琼斯概念;央企;证金概念;行业龙头;大央企重组;融资融券标的;国家队;融资融券;含H股的A股;中字头,601600.SH,11
1053,757,2011-11-11,制造业,股票质押;增持;文化传媒概念;员工持股;氢能,002592.SZ,7
1701,758,2012-07-18,制造业,军民融合;3D打印,300337.SZ,6
1014,759,2011-02-25,制造业,预减;集成电路,002553.SZ,7
2494,760,2003-03-19,制造业,医疗改革;超级细菌;医保概念;超涨;地方国企;江苏省国资;肺炎概念,600513.SH,15
2064,761,2017-11-09,制造业,近端次新股;军民融合;次新股;通用航空,300719.SZ,1
1970,762,2017-03-07,制造业,行业龙头;中小创蓝筹;珠三角;大消费;基金重仓(季调);次新股,300616.SZ,1
112,763,1993-09-08,制造业,生物疫苗;干细胞;超涨;并购阶段(需定增);超级细菌;举牌;装饰园林;禽流感;肺炎概念;医保概念,000518.SZ,25
3435,764,2017-07-06,制造业,预减;次新股;小盘成长;合资企业;制造业单项冠军企业,603933.SH,1
1677,765,2012-04-25,农、林、牧、渔业,生物育种;股票质押;并购阶段(需定增);文化传媒概念,300313.SZ,6
316,766,1997-07-18,制造业,标普道琼斯概念;白酒,000799.SZ,21
1072,767,2011-08-30,制造业,标普道琼斯概念;锂电池;机器人;珠三角;宁德时代产业链;行业龙头;工业4.0,002611.SZ,7
1073,768,2011-08-30,制造业,员工持股;跨境电商;预减;民营银行;二胎政策;化妆品,002612.SZ,7
3233,769,2017-04-05,制造业,次新股;小盘成长;装配式建筑,603385.SH,1
2508,770,2002-06-03,制造业,超涨;基金减持;基金重仓(季调);小盘成长;地方国企,600529.SH,16
